2019-02-27 16:22:55 status unpacked e2fslibs:i386 1.42.13-1ubuntu1
2019-02-27 16:22:55 status unpacked e2fslibs:i386 1.42.13-1ubuntu1
2019-02-27 16:22:55 install e2fsprogs:i386 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:55 status half-installed e2fsprogs:i386 1.42.13-1ubuntu1
2019-02-27 16:22:55 status unpacked e2fsprogs:i386 1.42.13-1ubuntu1
2019-02-27 16:22:55 status unpacked e2fsprogs:i386 1.42.13-1ubuntu1
2019-02-27 16:22:55 install findutils:i386 <none> 4.6.0+git+20160126-2
2019-02-27 16:22:55 status half-installed findutils:i386 4.6.0+git+20160126-2
2019-02-27 16:22:55 status unpacked findutils:i386 4.6.0+git+20160126-2
2019-02-27 16:22:55 status unpacked findutils:i386 4.6.0+git+20160126-2
2019-02-27 16:22:55 install gcc-6-base:i386 <none> 6.0.1-0ubuntu1
2019-02-27 16:22:55 status half-installed gcc-6-base:i386 6.0.1-0ubuntu1
2019-02-27 16:22:55 status unpacked gcc-6-base:i386 6.0.1-0ubuntu1
2019-02-27 16:22:55 status unpacked gcc-6-base:i386 6.0.1-0ubuntu1
2019-02-27 16:22:55 install grep:i386 <none> 2.24-1
2019-02-27 16:22:55 status half-installed grep:i386 2.24-1
2019-02-27 16:22:55 status unpacked grep:i386 2.24-1
2019-02-27 16:22:55 status unpacked grep:i386 2.24-1
2019-02-27 16:22:55 install gzip:i386 <none> 1.6-4ubuntu1
2019-02-27 16:22:55 status half-installed gzip:i386 1.6-4ubuntu1
2019-02-27 16:22:55 status unpacked gzip:i386 1.6-4ubuntu1
2019-02-27 16:22:55 status unpacked gzip:i386 1.6-4ubuntu1
2019-02-27 16:22:55 install hostname:i386 <none> 3.16ubuntu2
2019-02-27 16:22:55 status half-installed hostname:i386 3.16ubuntu2
2019-02-27 16:22:55 status unpacked hostname:i386 3.16ubuntu2
2019-02-27 16:22:55 status unpacked hostname:i386 3.16ubuntu2
2019-02-27 16:22:55 install init:i386 <none> 1.29ubuntu1
2019-02-27 16:22:55 status half-installed init:i386 1.29ubuntu1
2019-02-27 16:22:55 status unpacked init:i386 1.29ubuntu1
2019-02-27 16:22:55 status unpacked init:i386 1.29ubuntu1
2019-02-27 16:22:55 install init-system-helpers:all <none> 1.29ubuntu1
2019-02-27 16:22:55 status half-installed init-system-helpers:all 1.29ubuntu1
2019-02-27 16:22:55 status unpacked init-system-helpers:all 1.29ubuntu1
2019-02-27 16:22:55 status unpacked init-system-helpers:all 1.29ubuntu1
2019-02-27 16:22:55 install initscripts:i386 <none> 2.88dsf-59.3ubuntu2
2019-02-27 16:22:55 status half-installed initscripts:i386 2.88dsf-59.3ubuntu2
2019-02-27 16:22:55 status unpacked initscripts:i386 2.88dsf-59.3ubuntu2
2019-02-27 16:22:55 status unpacked initscripts:i386 2.88dsf-59.3ubuntu2
2019-02-27 16:22:55 install insserv:i386 <none> 1.14.0-5ubuntu3
2019-02-27 16:22:55 status half-installed insserv:i386 1.14.0-5ubuntu3
2019-02-27 16:22:56 status unpacked insserv:i386 1.14.0-5ubuntu3
2019-02-27 16:22:56 status unpacked insserv:i386 1.14.0-5ubuntu3
2019-02-27 16:22:56 install libacl1:i386 <none> 2.2.52-3
2019-02-27 16:22:56 status half-installed libacl1:i386 2.2.52-3
2019-02-27 16:22:56 status unpacked libacl1:i386 2.2.52-3
2019-02-27 16:22:56 status unpacked libacl1:i386 2.2.52-3
2019-02-27 16:22:56 install libapparmor1:i386 <none> 2.10.95-0ubuntu2
2019-02-27 16:22:56 status half-installed libapparmor1:i386 2.10.95-0ubuntu2
2019-02-27 16:22:56 status unpacked libapparmor1:i386 2.10.95-0ubuntu2
2019-02-27 16:22:56 status unpacked libapparmor1:i386 2.10.95-0ubuntu2
2019-02-27 16:22:56 install libattr1:i386 <none> 1:2.4.47-2
2019-02-27 16:22:56 status half-installed libattr1:i386 1:2.4.47-2
2019-02-27 16:22:56 status unpacked libattr1:i386 1:2.4.47-2
2019-02-27 16:22:56 status unpacked libattr1:i386 1:2.4.47-2
2019-02-27 16:22:56 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 install libaudit1:i386 <none> 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 status half-installed libaudit1:i386 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 status unpacked libaudit1:i386 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 status unpacked libaudit1:i386 1:2.4.5-1ubuntu2
2019-02-27 16:22:56 install libblkid1:i386 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:56 status half-installed libblkid1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:56 status unpacked libblkid1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:56 status unpacked libblkid1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:56 install libbz2-1.0:i386 <none> 1.0.6-8
2019-02-27 16:22:56 status half-installed libbz2-1.0:i386 1.0.6-8
2019-02-27 16:22:56 status unpacked libbz2-1.0:i386 1.0.6-8
2019-02-27 16:22:56 status unpacked libbz2-1.0:i386 1.0.6-8
